[2026-06-01 15:22:12] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-31
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605310000+TO+202605312359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-6-1 | Environment-in-the-Loop: Rethinking Code Migration with LLM-based Agents
[ACM] 2026-6-1 | Model-Driven Legacy System Modernization at Scale
[ACM] 2026-6-1 | It's Alive! What a Live Object Environment Changes in Software Engineering Practice
[ACM] 2026-6-1 | Language Embeddings Meet Shallow Autoencoders
[ACM] 2026-6-1 | OmniSim: A LLM-Powered Open-Source Simulator for Generating Personalized and Adaptive Conversational Recommendation Dialogues
[ACM] 2026-6-1 | From Labels to Context: Context-Sensitive User Modeling of Affect with Large Language Models
[ACM] 2026-6-1 | Causal Reasoning Augmented Agents for Adaptive and Explainable Knowledge Retrieval
[ACM] 2026-6-1 | JMigBench: A Benchmark for Evaluating LLMs on Source Code Migration (Java 8 to Java 11)
[ACM] 2026-6-1 | From Detection to Prevention: Explaining Security-Critical Code to Avoid Vulnerabilities
[ACM] 2026-6-1 | Large Language Models for Secure Code Assessment: A Multi-Language Empirical Study
[ACM] 2026-6-1 | How to Build Explainable Recommender Systems using Path Reasoning on Knowledge Graphs: A Tutorial with hopwise
[ACM] 2026-6-1 | Match-it: Group Recommendations in the Age of Mobile Applications
[ACM] 2026-6-1 | Toward Balanced Personalization: Bridging Short-Term Intent and Long-Term Preference
[ACM] 2026-6-1 | Harnessing Query Context for Personalized User Intent-Aware Sequential Recommendation
[ACM] 2026-6-1 | Forecasting Developer Environments with GenAI: A Research Perspective
[ACM] 2026-6-1 | DeepTest Tool Competition 2026: Benchmarking an LLM-Based Automotive Assistant
[ACM] 2026-6-1 | Game On for News: Stance-Aware Gamification in a News Aggregator to Promote Engagement with Diverse Viewpoints
[ACM] 2026-6-1 | Modeling Relational Dynamics into Cognitive Architectures for Socially Assistive Robots
[ACM] 2026-6-1 | LLM-Based Content Tagging at The Washington Post
[ACM] 2026-6-1 | May the Force Be with You: Force-Aware and Explainable User Modeling for Personalized Psychomotor Support
[ACM] 2026-6-1 | 8th UMAP Workshop on Fairness in User Modeling, Adaptation, and Personalization (FairUMAP 2026)
[ACM] 2026-6-1 | This Is The World (Recommender Systems Made It For You)
[ACM] 2026-6-1 | SOcial and Cultural IntegrAtion with PersonaLIZEd Interfaces (SOCIALIZE) 2026
[ACM] 2026-6-1 | Learning Behaviorally Grounded Item Embeddings via Personalized Temporal Contexts
[ACM] 2026-6-1 | SafeTrans: LLM-assisted Transpilation from C to Rust
[ACM] 2026-6-1 | Knowledge Graphs and Large Language Models for Continuous Adaptation in Lifelong Learning
[ACM] 2026-6-1 | When Preference Is Not Enough
[ACM] 2026-6-1 | A Zero-Force Optical Sensor Interface and Fitting Protocol for Customized Assistive Technology Control
[ACM] 2026-6-1 | Detecting UX smells in Visual Studio Code using LLMs
[ACM] 2026-6-1 | How Personal Characteristics Influence the Use of Multi-Agent Conversational Recommender Systems for Diverse Exploration
[ACM] 2026-6-1 | Meta-Learning and Targeted Differential Privacy to Improve the Accuracy-Privacy Trade-off in Recommendations
[ACM] 2026-6-1 | Protecting Private Code in IDE Autocomplete using Differential Privacy
[ACM] 2026-6-1 | Modeling the Sense of Agency as a Latent User State during Music Listening
[ACM] 2026-6-1 | First International Workshop on User Modeling, Personalization, and Adaptive Systems for Sustainability and Social Good (UMAP4Good 2026)
[ACM] 2026-6-1 | What Do Humanities Scholars Need? A User Model for Recommendation in Digital Archives
[ACM] 2026-6-1 | Personalized Misinformation Interventions: User-Adaptive Fact-Check Explanations Through Affective Modalities
[ACM] 2026-6-1 | Reflecti-Mate: A Conversational Agent for Adaptive Decision-Making Support Through System 1 and System 2 Thinking
